actively_hiring,Type_of_job,company_name,location,salary,experience,experience_enc
1.0,business development executive,ifisys software and services private limited,delhi,₹  2 - 2.5 lpa,0-2 years,2
1.0,graphic designer,backbenchers,gurgaon,₹  2 - 3.5 lpa,0-2 years,2
1.0,corporate sales associate,fyipen private limitted,delhi,₹  2.5 - 4 lpa,0-2 years,2
1.0,assistant manager - sales (delhi ncr),marketing works,faridabad,₹  4 - 5.5 lpa,0-5 years,4
1.0,business development executive,bizcon fintech labs private limited,noida,₹  2 - 3.2 lpa,0-2 years,2
0.0,inside sales specialist,skill-lync,chennai,₹  3 - 4 lpa,0-2 years,2
1.0,accounts executive,tradesk solutions private limited,patna,₹  2 - 2.4 lpa,0-2 years,2
1.0,insurance team leader (retail partner),agni rural welfare society,kolkata,₹  2.28 - 5.04 lpa,0-5 years,4
0.0,full stack developer,tutedude,gurgaon,₹  4.5 - 7 lpa,0-5 years,4
1.0,business and product development executive,allo innoware,mumbai,₹  2 - 3 lpa,0-2 years,2
1.0,junior graphic designer,peppermint communications private limited,bhiwandi,₹  2 - 3 lpa,0-2 years,2
1.0,junior interior designer,archipixels,lucknow,₹  2 - 2.1 lpa,0-2 years,2
1.0,corporate sales executive,zoplar,gurgaon,₹  2 - 5 lpa,0-5 years,4
1.0,customer acquisition specialist,ijrdo journal,gurgaon,₹  2.5 - 3.3 lpa,0-2 years,2
1.0,field sales specialist,aegiscovenant,agra,₹  2 - 5 lpa,0-5 years,4
1.0,customer relationship executive (morning shift),upstep academy,mumbai,₹  2.4 - 4.2 lpa,0-2 years,2
1.0,customer relationship executive,upstep academy,mumbai,₹  2.4 - 3.4 lpa,0-2 years,2
1.0,business development associate,software at work,mumbai,₹  3 - 4 lpa,0-2 years,2
1.0,junior recruitment specialist,prexel,vadodara,₹  2.5 lpa,0-2 years,2
1.0,junior financial officer,wemakescholars,ranchi,₹  3 - 3.7 lpa,0-2 years,2
1.0,graphics designer,tradereboot fintech private limited,delhi,₹  2 - 2.2 lpa,0-2 years,2
1.0,assistant,zenexture,noida,₹  2 lpa,0-2 years,2
1.0,crypto trainer,density exchange,bangalore,₹  4 - 5.5 lpa,0-5 years,4
1.0,sales and marketing executive,sukshma dhrashta,bangalore,₹  3 lpa,0-2 years,2
1.0,academic counselor,collegedekho.com,gurgaon,₹  2.8 - 4.5 lpa,0-2 years,2
1.0,laravel developer,jstechno solutions private limited,ahmedabad,₹  2 - 3.5 lpa,0-2 years,2
1.0,visual illustrator & animator,jus amazin foods & beverages private limited,bangalore,₹  2 - 3 lpa,0-2 years,2
1.0,corporate sales associate,zoplar,delhi,₹  6 - 8 lpa,0-5 years,4
1.0,digital marketing specialist,tradereboot fintech private limited,mumbai,₹  2 - 3 lpa,0-2 years,2
1.0,broadcast engineer,viacom 18 media private limited,mumbai,₹  2 - 4 lpa,0-2 years,2
1.0,junior python developer,storiesofcommonman,bangalore,₹  2 - 3 lpa,0-2 years,2
1.0,business development & corporate sales executive,allo innoware,remote,₹  2 - 3 lpa,0-2 years,2
1.0,product development executive,rorosaur foodtech private limited,hyderabad,₹  2 - 3 lpa,0-2 years,2
1.0,sales executive,hainey global private limited,delhi,₹  2.5 - 3 lpa,0-2 years,2
1.0,academic counsellor,collegedekho.com,gurgaon,₹  2.8 - 4.5 lpa,0-2 years,2
1.0,tele sales and marketing executive,hainey global private limited,delhi,₹  2 - 2.3 lpa,0-2 years,2
1.0,shipping executive,rorosaur foodtech private limited,hyderabad,₹  2 - 3 lpa,0-2 years,2
1.0,digital content creator,sharepal,bangalore,₹  3.5 - 4.5 lpa,0-2 years,2
1.0,sales executive,rorosaur foodtech private limited,hyderabad,₹  3 - 3.6 lpa,0-2 years,2
1.0,corporate sales associate,bharti airtel limited,ahmedabad,₹  4 - 5 lpa,0-5 years,4
